datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
2019-07-21 12:29,Sun,16100,,2,,,,,,,,,,,,,,,,,1,,,,,
2019-07-21 12:47,Sun,21000,,,1,,,1,,1,,1,,,,,,,,,1,,,,,
2019-07-21 13:37,Sun,19300,,1,,,,1,,,,,,,,2,,,,,,,,,,
2019-07-21 13:45,Sun,22300,,1,,,2,1,,1,,,,,,,,,,,,,,,,
2019-07-21 14:05,Sun,18300,,1,1,,,1,,,,,,,,,,,,,,,1,,,
2019-07-21 14:53,Sun,15300,,1,1,1,,1,,,,,,,,,,,,,,,,,,
2019-07-21 15:21,Sun,15100,,1,,,,,,,,,1,,,,1,,,,,,,,,
2019-07-22 11:38,Mon,15600,,2,,,1,,,,,,,,,,,,,,,,,,,
2019-07-22 12:16,Mon,19300,,1,,,,1,,,,,,,,1,,,,,1,,,,,
2019-07-22 12:24,Mon,18300,,1,,,,1,,,,1,,,,,,,,,1,,,,,
2019-07-22 12:41,Mon,18300,,1,,,,2,,1,,,,,,,,,,,,,,,,
2019-07-22 13:28,Mon,16600,,2,,,,,,,,2,,,,,,,,,,,,,,
2019-07-22 13:44,Mon,14800,,1,,,,,,,,1,,,,,,1,,,,,,,,
2019-07-22 14:47,Mon,26000,,5,,,,,,,,,,,,,,,,,,,,,,
2019-07-22 15:37,Mon,19600,,1,,,,,1,1,,,,,,,1,,,,,,,,,
2019-07-22 16:54,Mon,18600,,1,,,,1,,,,,,,,,1,,,,,,,1,,
2019-07-24 11:29,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 11:56,Wed,27100,,2,2,,,,,1,,,,,,,,,,,1,,,,,
2019-07-24 13:24,Wed,18800,,1,1,,1,1,,,,,,,,,,,,,,,,,,
2019-07-24 14:25,Wed,25400,,3,,,,,,,,,,,,2,,,,,,,,,,
2019-07-24 14:28,Wed,26300,,1,2,,1,,,1,,,,,,,,,,,,,1,,,
2019-07-24 15:36,Wed,16100,,2,,,,,,,,,1,,,,,,,,,,,,,
2019-07-24 15:40,Wed,16100,,2,,,,,,1,,,,,,,,,,,,,,,,
2019-07-24 16:02,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 17:20,Wed,15000,,,,,,,,,,1,1,,,,,,,,,2,,,,
2019-07-25 11:49,Thur,18600,,1,,,,,,1,,1,,,,,1,,,,,,,,,
2019-07-25 11:57,Thur,26800,,1,1,,1,1,1,,,,,,,,,,,,,,1,,,
2019-07-25 12:01,Thur,35000,,,,,,,,,,,4,,,,,,,,,6,,,,
2019-07-25 12:35,Thur,38000,,5,,,,1,,,,1,,,,,,,,,,2,,,,
2019-07-25 13:01,Thur,23100,,2,,,,,,1,,1,,,,,,,,,,,,,,
2019-07-25 13:05,Thur,17300,,,,,,,,,,2,,,,,1,,,,,,,1,,
2019-07-25 13:40,Thur,19600,,2,,,,1,,,,,,,,,,1,,,,,,,,
2019-07-25 13:42,Thur,15300,,1,,,1,,,,,,,,,,,1,,,,,,,,
2019-07-25 14:12,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,
2019-07-25 15:09,Thur,14300,,1,,,1,1,,,,,,,,,,,,,,,,,,
2019-07-25 15:57,Thur,15100,,1,,,,,,,,,1,,,,1,,,,,,,,,
2019-07-25 16:03,Thur,20000,,,,,,,,,,,1,,,,,1,,,1,,1,,,
2019-07-26 11:26,Fri,25300,,1,1,,,3,,,,,,,,,,,,,1,,,,,
2019-07-26 11:23,Fri,73200,,4,3,,,6,,1,,2,,,,,,1,,,1,,,,,
2019-07-26 11:31,Fri,22800,,1,,,,,,1,,,,,,,,1,,,1,1,,,,
2019-07-26 11:36,Fri,1293000,,6,5,,,5,,,,5,5,,,,,5,,,,,,,,
2019-07-26 11:37,Fri,15000,,,1,1,,1,,,,,,,,,,,,,1,,,,,
2019-07-26 11:55,Fri,20800,,1,,,,,,1,,,1,,,,,,,,,2,,,,
2019-07-26 13:19,Fri,25900,,3,,,,,,1,,,,,,,,,,,,2,,,,
2019-07-26 13:24,Fri,28100,,2,,,1,,,,,1,,,,,,,,1,1,,,,,
2019-07-26 14:05,Fri,15800,,1,,,,,,,,,,,,1,,,,,,,,1,,
2019-07-26 14:24,Fri,35000,,5,,,,,,,,,,,,,,,,,2,,,,,
2019-07-26 14:52,Fri,22100,,1,,,,,,,,,1,,,,1,,,1,,1,,,,
2019-07-26 14:56,Fri,16100,,2,,,,,,,,,,,,,,1,,,,,,,,
2019-07-27 11:29,Sat,18800,,1,1,,1,,,1,,,,,,,,,,,,,,,,
2019-07-27 11:57,Sat,21800,,1,1,,,1,,,,1,,,,,,1,,,,,,,,
2019-07-27 12:00,Sat,18600,,1,,,,1,,,,,,,,,1,,,,,,1,,,
2019-07-27 12:07,Sat,33200,,2,2,,,,,,,2,,,,,2,,,,,,,,,
2019-07-27 12:20,Sat,22800,,1,,,,1,,,,1,,,,,,,,1,,,,,1,
2019-07-27 12:26,Sat,17000,,1,,,,3,,,,,,,,,,,,,,,,,,
2019-07-27 12:43,Sat,16400,,1,1,,,,,,,,,,,,,1,,,,,,,,
2019-07-27 13:50,Sat,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,
2019-07-27 14:05,Sat,32600,,1,1,1,,,,,,,,,,,1,,,1,1,1,1,,,
2019-07-28 11:17,Sun,17300,,1,,,,1,,,,,,,,,,,,,1,1,,,,
2019-07-28 12:10,Sun,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,
2019-07-28 12:21,Sun,14800,,1,,,,,,1,,1,,,,,,,,,,,,,,
2019-07-28 12:47,Sun,14300,,1,,,1,,,,,1,,,,,,,,,,,,,,
2019-07-28 12:48,Sun,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,
2019-07-28 13:13,Sun,25600,,2,1,,,2,,,,,,,,,,,,,,1,,,,
2019-07-28 13:14,Sun,19500,,,1,1,,,,,,1,,,,,,1,,,,,,1,,
2019-07-29 11:08,Mon,24800,,1,,,,3,,,,,,,,,,,,,,3,,,,
2019-07-29 11:12,Mon,24100,,2,,,,1,,1,,,,,,,,,,,1,,,,,
2019-07-28 11:14,Mon,15800,,1,,,,,,1,,,,,,,,1,,,,,,,,
2019-07-29 11:39,Mon,14800,,1,,,,,,,,1,,,,,,1,,,,,,,,
2019-07-29 12:02,Mon,14800,,1,,,,,,,,1,,,,,,,,,1,,,,,
2019-07-29 12:15,Mon,18300,,1,,,,1,,,,1,,,,,,,,,1,,,,,
2019-07-29 12:22,Mon,27900,,3,1,,,,,,,1,,,,,,,,,1,,,,,
2019-07-29 12:54,Mon,15800,,1,,,,,,,,,1,,,,,,,,1,,,,,
2019-07-29 13:25,Mon,18100,,1,,,1,1,,,,,,,,,1,,,,,,,,,
2019-07-29 13:36,Mon,28000,,,,,,1,,,,,1,,,1,,1,,,,,1,,,
2019-07-29 13:53,Mon,28000,,,,,2,,,1,,,1,,,,,1,,,,,1,,,
2019-07-31 11:09,Wed,15600,,2,,,1,,,,,,,,,,,,,,,,,,,
2019-07-31 11:25,Wed,30100,,2,1,,,2,,,,1,,,,,,1,,,,,,,,
2019-07-31 11:38,Wed,23300,,1,1,1,,1,,,,1,1,,,,,,,,,,,,,
2019-07-31 11:44,Wed,30200,,2,,,1,,,,,2,,,,,2,,,,,,,,,
2019-07-31 12:48,Wed,15100,,2,1,,,,,,,,,,,,,,,,,,,,,
2019-07-31 13:18,Wed,27300,,1,1,,2,,,,,,,,,,,1,,,,,1,,,
2019-07-31 13:19,Wed,15300,,1,,,1,,,1,,,,,,,,,,,,,,,,
2019-07-31 13:29,Wed,16100,,1,,,,,,,,,,,,,1,1,,,,,,,,
2019-07-31 13:54,Wed,15100,,1,,,,,,,,,,,,1,1,,,,,,,,,
2019-07-31 13:58,Wed,15800,,1,,,,,,1,,,,,,,,1,,,,,,,,
2019-08-01 11:03,Thur,14500,,,,,,,,1,,1,,,,,,1,,,,,,,,
2019-08-01 11:17,Thur,13100,,2,,,,,,,,1,,,,,,,,,,,,,,
2019-08-01 11:25,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,
2019-08-01 11:50,Thur,14800,,1,,,,1,,,,,,,,,,,,,1,,,,,
2019-08-01 12:02,Thur,21100,,2,1,,,1,,,,,,,,,,1,,,,,,,,
2019-08-01 12:15,Thur,20600,,2,,,,,,1,,,,,,,,,,,1,,,,,
2019-08-01 12:24,Thur,32600,,1,2,,,2,,1,,1,,,,,1,,,,,,,,,
2019-08-01 12:38,Thur,14500,,,1,,,,,,,,,,,1,,1,,,,,,,,
2019-08-01 13:37,Thur,15100,,2,,,,1,,,,,,,,,,,,,,,,,,
2019-08-01 13:39,Thur,15000,,,1,1,,,,,,1,,,,1,,,,,,,,,,
2019-08-01 14:17,Thur,14800,,1,,,,,,1,,1,,,,,,,,,,,,,,
2019-08-01 14:56,Thur,23000,,,,,,4,,,,2,,,,,,,,,,,,,,
2019-08-02 11:03,Fri,19900,,3,,,,,,,,1,,,,,,,,,,,,,,
2019-08-02 11:04,Fri,14100,,1,1,,,,,,,,,,,,1,,,,,,,,,
2019-08-02 11:06,Fri,18000,,3,,,,,,1,,,,,,,,1,,,1,1,,,,
2019-08-02 11:19,Fri,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-02 11:31,Fri,17300,,1,1,,,,,,,,,,,,,,,,,1,,1,,
2019-08-02 11:57,Fri,30800,,6,,,,,,,,,,,,,,,,,,,,,,
2019-08-02 12:21,Fri,15800,,1,,,,,1,1,,,,,,,,,,,,,,,,
2019-08-02 12:31,Fri,19900,,2,,,,,,,,,,,,,1,,,,1,,,,,
2019-08-02 12:51,Fri,15800,,1,1,,,,,1,,,,,,,,,,,,,,,,
2019-08-03 11:02,Sat,26000,,5,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 11:03,Sat,26100,,2,1,,,,,,,1,,,,,,,,,,3,,,,
2019-08-03 11:03,Sat,16000,,,,,,2,,,,2,,,,,,,,,,,,,,
2019-08-03 11:05,Sat,29100,,1,,,,1,,,,1,1,,,,1,,,,1,1,,,,
2019-08-03 11:06,Sat,16800,,1,1,1,,,,,,,,,,,,,,,,2,,,,
2019-08-03 11:08,Sat,22800,,,1,,,1,,,,,,,,,1,,,,,4,,,,
2019-08-03 11:20,Sat,16600,,1,,,,1,,,,,,,,,1,,,,,1,,,,
2019-08-03 11:53,Sat,18800,,1,1,,,1,,,,,,,,,,,,,,2,,,,
2019-08-03 12:06,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 12:44,Sat,19300,,1,1,,,,,,,,,,,1,,,,,1,,,,,
2019-08-03 13:06,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 13:18,Sat,18300,,1,,,2,1,,,,,,,,,,,,,,,,,,
2019-08-03 13:20,Sat,16300,,1,,1,,1,,,,,,,,,,,,,1,,,,,
2019-08-03 13:42,Sat,15800,,1,,,,,,,,,2,,,,,,,,,,,,,
2019-08-03 15:07,Sat,17900,,3,,1,,,,,,,,,,,,,,,,,,,,
2019-08-03 15:53,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-04 11:02,Sun,34800,,1,1,,2,2,,,,2,,,,,,,,,,1,,,,
2019-08-04 11:04,Sun,31600,,2,1,,,1,,,,1,,,,,,,,,1,2,,,,
2019-08-04 11:07,Sun,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-04 11:07,Sun,19300,,1,1,,,,,1,,,,,,1,,,,,,,,,,
2019-08-04 11:41,Sun,24300,,1,1,1,,,,1,,1,,,,,,,,,,1,,,,
2019-08-04 11:52,Sun,22100,,2,,,,1,,,,,,,,,,,,,1,1,,,,
2019-08-04 12:27,Sun,14800,,1,1,,,,,,,,,,,,,,,,1,,,,,
2019-08-04 12:30,Sun,19500,,,1,,,2,,,,1,,,,,,,,,,,,,,
2019-08-04 12:35,Sun,20600,,2,,,,,,,,,,,,,,1,,,1,,,,,
2019-08-04 12:39,Sun,17800,,,1,1,,,,,,,1,,,,1,,,,,1,,,,
2019-08-05 11:11,Mon,16300,,1,,,,,,1,,,,,,,,,,,,2,,,,
2019-08-05 11:16,Mon,23100,,2,,,,,,,,,,,,1,,,,,1,1,,,,
2019-08-05 11:18,Mon,31400,,2,,,,,,1,,1,,,,,1,1,,,,1,,,,
2019-08-05 11:32,Mon,17000,,,,,,,,,,1,2,,,,,,,,,1,,,,
2019-08-05 11:59,Mon,22300,,1,1,1,,,,,,1,,,,,,1,,,,1,,,,
2019-08-05 12:14,Mon,26600,,2,1,,,1,,1,,1,,,,,,,,,,,,,,
2019-08-05 12:14,Mon,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,
2019-08-05 12:42,Mon,19600,,2,,,,,,1,,1,,,,,,,,,,,,,,
2019-08-05 12:49,Mon,49300,,1,1,1,,1,1,,,1,,,,,,,,1,,,3,1,,
2019-08-05 13:54,Mon,19800,,1,1,1,,1,1,,,,,,,,,,,,,,,,,
2019-08-05 14:25,Mon,20800,,1,1,,,,1,,,,,,,,,,,,,1,,,,
2019-08-05 14:53,Mon,16300,,1,,,,2,,,,,,,,,,,,,,1,,,,
2019-08-07 11:03,Wed,16300,,1,,,,2,,,,,,,,,,,,,,1,,,,
2019-08-07 11:10,Wed,21200,,4,,,,,,,,,,,,,,,,,,,,,,
2019-08-07 12:17,Wed,15300,,,,,,1,,,,1,,,,,1,,,,,1,,,,
2019-08-07 12:20,Wed,27300,,1,,,,1,1,1,,1,,,,,,,,,,,1,,,
2019-08-07 12:28,Wed,16100,,2,,,,,,,,,,,,,,,,,1,,,,,
2019-08-07 13:28,Wed,17600,,1,,,,2,,,,,,,,,1,,,,,,,,,
2019-08-07 13:33,Wed,19500,,,3,,,,,,,2,,,,,,,,,,,,,,
2019-08-07 13:59,Wed,14800,,1,,,2,,,,,,,,,,,,,,,,,,,
2019-08-07 14:05,Wed,15000,,,1,1,,1,,,,,,,,,,,,,1,,,,,
2019-08-07 14:06,Wed,14100,,2,,,,,,,,,,,,,,,,,,1,,,,
2019-08-07 14:50,Wed,23800,,1,1,,,,1,1,,,,,,1,,,,,,,,,,
2019-08-08 11:07,Thur,16100,,2,1,,,,,,,,,,,,,,,,,,,,,
2019-08-08 11:09,Thur,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-08 11:22,Thur,20300,,1,,,,,,,,,,,,,,1,,,2,,,,,
2019-08-08 12:03,Thur,16500,,,1,1,,,,1,,,,,,,,,,,,1,,,,
2019-08-08 12:13,Thur,15100,,2,,,,,,,,1,,,,,,,,,,,,,,
2019-08-08 12:39,Thur,15300,,1,1,,,,,,,,,,,,,,,,,2,,,,
2019-08-08 12:56,Thur,16000,,,1,,,1,,,,,,,,,,1,,,,1,,,,
2019-08-08 13:22,Thur,15800,,1,,,,,,1,,,,,,,,,,,,,1,,,
2019-08-08 13:26,Thur,17300,,1,,,,1,,,,2,,,,,,,,,,,,,,
2019-08-08 13:36,Thur,33200,,2,,,,,,2,,,,,,,2,,,,,2,,,,
2019-08-08 13:55,Thur,22300,,,,,1,1,1,,,,,,,,1,1,,,,,,,,
2019-08-08 13:57,Thur,32400,,3,,,,2,,,,,,,,,,,,,2,,,,,
2019-08-08 14:11,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,
2019-08-08 14:52,Thur,17000,,,1,2,1,,,,,,,,,,,,,,1,,,,,
2019-08-08 14:58,Thur,20500,,,1,2,,,,,,,,,,,,,,,,3,1,,,
2019-08-09 11:34,Fri,17000,,,,,,2,,,,1,,,,,,,,,1,,,,,
2019-08-09 12:31,Fri,18600,,1,,,,1,,,,,,,,1,1,,,,,,,,,
2019-08-09 15:22,Fri,26000,,5,,,,,,,,,,,,,,,,,,,,,,
2019-08-09 15:22,Fri,35800,,6,,,,2,,,,,,,,,,,,,,,,,,
2019-08-09 15:30,Fri,15100,,1,,,,,,,,,,,,,1,,,,,,1,,,
2019-08-10 11:01,Sat,19600,,2,,,,,,1,,1,,,,,,,,,,,,,,
2019-08-10 11:02,Sat,15300,,1,,,1,,,,,,,,,,,1,,,,,,,,
2019-08-10 11:03,Sat,19100,,1,,,,,,,,1,,,,,1,1,,,,1,,,,
2019-08-10 11:05,Sat,28600,,2,1,,,,,1,,,,,,,,1,,,1,,,,,
2019-08-10 11:09,Sat,17300,,1,,,,1,,,,2,,,,,,,,,,,,,,
2019-08-10 11:27,Sat,36800,,1,1,,,1,,,,1,1,,,,,1,,,,2,1,,,
2019-08-10 11:38,Sat,25300,,1,1,,,1,,1,,,,,,,,,,,,1,,,,
2019-08-10 12:17,Sat,46200,,4,,,,,,,,2,1,,,,,2,,,1,,,,,
2019-08-10 13:09,Sat,30200,,4,,,,,,2,,,,,,,,,,,,,,,,
2019-08-10 13:15,Sat,16600,,1,,,,1,,,,,,,,,1,,,,,1,,,,
2019-08-10 13:22,Sat,21200,,4,,,,,,,,,,,,,,,,,,,,,,
2019-08-10 13:31,Sat,24400,,3,,,,1,,1,,,,,,,,,,,,,,,,
2019-08-11 11:01,Sun,21800,,1,1,,,1,,,,1,,,,,,1,,,,,,,,
2019-08-11 11:02,Sun,16800,,1,,,1,,,,,1,,,,,,,,,,1,,,,
2019-08-11 11:03,Sun,16000,,,,,,1,,,,1,,,,,,,,,1,1,,,,
2019-08-11 11:08,Sun,22800,,1,,,,,,1,,,,,,,,1,,,1,1,,,,
2019-08-11 11:08,Sun,17800,,1,,,1,,,1,,,,,,,,,,,,1,,,,
2019-08-11 11:37,Sun,15800,,1,,,,,,,,,,,,,,1,,,,,1,,,
2019-08-11 11:40,Sun,38900,,3,,,,2,,1,,2,1,,,,,,,,,,,,,
2019-08-11 11:46,Sun,19600,,2,1,,,,,,,,1,,,,,,,,,,,,,
2019-08-11 11:50,Sun,15300,,1,1,1,,,,,,1,,,,,,,,,,,,,,
2019-08-11 11:58,Sun,27900,,3,1,,,,,,,1,,,,,,,,,1,,,,,
2019-08-11 12:58,Sun,15800,,1,,,,,1,,,,,,,,,1,,,,,,,,
2019-08-11 13:14,Sun,19300,,1,,,,,,,,1,,,,,,1,,,,,,1,,
2019-08-11 13:21,Sun,23100,,2,,,,,,,,,,,,,,1,,,,1,,,1,
2019-08-11 13:27,Sun,17300,,1,,,,,1,,,1,,,,,,,,,,1,,,,
2019-08-12 11:05,Mon,28400,,2,,,,1,,,,2,,,,,1,,,,,1,,,,
2019-08-12 11:08,Mon,20800,,1,,,,1,,1,,,,,,,,,,,,,,,,
2019-08-12 11:48,Mon,16300,,1,1,,,1,,,,,,,,,,,,,,1,,,,
2019-08-12 12:39,Mon,24300,효자 3동,1,2,,,3,,,,,,,,,,,,,,,,,,
2019-08-12 12:41,Mon,15800,효자 3동,1,,,,,,,,,,,,,,1,,,1,,,,,
2019-08-12 12:48,Mon,14800,후평 1동,1,,,,,1,,,1,,,,,,,,,,,,,,
2019-08-12 12:53,Mon,16300,후평 1동,1,,,,,,,,,1,,,,,,,,,2,,,,
2019-08-12 13:27,Mon,18300,후평 2동,1,1,,,,,,,1,1,,,,,,,,,,,,,
2019-08-12 13:56,Mon,19100,석사동,2,,,1,1,,,,,,,,,,,,,,,,,,
2019-08-12 14:08,Mon,32100,후평 1동,1,,,2,,,,,,,,,,1,1,,,,,1,,1,
2019-08-12 15:01,Mon,26000,소양동,5,,,,,,,,,,,,,,,,,,,,,,
2019-08-14 11:03,Wed,41200,퇴계동,4,1,1,,2,,,,1,,,,,,1,,,,,,,,
2019-08-14 11:03,Wed,17800,동면,1,1,1,,1,,,,,,,,,,,,,,1,,,,
2019-08-14 11:04,Wed,18300,효자 3동,1,,,,,,,,,1,,,,,1,,,,1,,,,
2019-08-14 11:07,Wed,17300,동면,1,,,,1,,,,,1,,,,,,,,,1,,,,
2019-08-14 11:16,Wed,65600,퇴계동,6,1,,,,,1,,1,,,,,1,2,,,,,,,,
2019-08-14 11:22,Wed,29000,동면,,,,1,3,,,,1,1,,,,,,,,,,1,,,
2019-08-14 11:25,Wed,27300,후평 1동,1,1,1,1,1,,,,1,,,,,,,,1,,,,,,
2019-08-14 11:31,Wed,22300,석사동,1,1,,,1,,,1,,1,,,,,,,,,,,,,
2019-08-14 11:41,Wed,14300,동면,1,,,1,1,,,,,,,,,,,,,,,,,,
2019-08-14 12:15,Wed,16400,후평 3동,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-15 11:03,Thur,24100,후평 3동,2,1,,,,1,1,,,,,,,,,,,,,,,,
2019-08-15 11:06,Thur,17300,석사동,1,1,,,,,1,,,,,,,,,,,,1,,,,
2019-08-15 11:15,Thur,16100,신사우동,2,,,,1,,,,,,,,,,,,,,,,,,
2019-08-15 11:23,Thur,22100,강남동,2,1,,,1,,,,,,,,,,,,,,,,,,
2019-08-15 11:49,Thur,15100,강남동,1,,,,,,,,,,,,,1,,,,1,,,,,
2019-08-15 11:50,Thur,58000,강남동,,,,,16,,,,,,,,,,,,,,,,,,
2019-08-15 11:53,Thur,15000,후평 2동,,,,1,,,,,,,,,,,,,,1,,1,,,
2019-08-15 12:00,Thur,18900,효자 1동,2,,,,,,,,1,,,,,1,,,,,,,,,
2019-08-15 12:18,Thur,16400,동면,3,,,,,,,,,,,,,,,,,,,,,,
2019-08-16 11:05,Fri,14800,후평 2동,1,,,,1,,,,,,,,,,1,,,,,,,,
2019-08-16 11:54,Fri,17800,조운동,1,,,,,,1,1,,,,,,,,,,,1,,,,
2019-08-16 11:54,Fri,15100,퇴계동,1,,,,,,,,1,,,,,,,,,,,,,,
2019-08-16 12:07,Fri,14100,교동,2,,,,,,,,,,,,,,,,,,1,,,,
2019-08-16 12:49,Fri,18300,신사우동,1,1,,,,,,,,,,,,,,,,,1,,1,,
2019-08-16 13:27,Fri,15800,동면,1,,,,,,,,,1,,,,,,,,1,,,,,
2019-08-17 11:01,Sat,20100,동면,2,1,1,,,,,,,,,,,,,,,,,,,,
2019-08-17 11:03,Sat,18300,소양동,1,,,,1,1,,,1,,,,,,,,,,,,,,
2019-08-17 11:17,Sat,24100,소양동,2,,,,,,,1,,,,,,,,,,,,,,,1
2019-08-17 11:30,Sat,24300,동면,1,,,1,,,1,,,,,,,,1,,,1,,,,,
2019-08-17 12:29,Sat,14800,동면,1,1,,,,,1,,,,,,,,,,,,,,,,
2019-08-17 12:40,Sat,18800,후평 3동,1,,,1,,,,,1,,,,,,,,,,,1,,,
2019-08-17 12:57,Sat,29600,동면,2,1,2,,1,,,,1,1,,,,,,,,,,,,,
2019-08-17 13:02,Sat,19800,석사동,1,1,1,,1,,,,,,,,,,1,,,,,,,,
2019-08-17 13:19,Sat,20300,교동,1,1,1,1,,,1,,,,,,,,,,,,,,,,
2019-08-17 13:38,Sat,32600,후평 1동,2,1,1,,,,2,,1,,,,,,,,,,,,,,
2019-08-17 14:07,Sat,19000,효자 1동,,,,,,,1,,,,,,,,,,,1,,,,,2
