Student,Exam1,Exam2,Exam3,Exam4,Exam5,Exam6,Exam7,Exam8,Exam9,Exam10,Exam11,Exam12,Exam13,Exam14,Exam15,Exam16,Exam17,Exam18,Exam19,Exam20,Exam21,Exam22,Exam23,Exam24,Exam25
student84,94,62,71,52,65,90,73,94,74,97,100,59,100,57,70,81,100,90,85,59,90,57,81,94,99
student85,100,82,55,97,75,86,63,60,72,87,57,75,92,78,83,66,98,77,89,86,53,76,68,58,89
student86,63,57,69,56,70,73,68,57,92,74,96,98,65,83,52,97,91,72,68,79,61,77,50,63,77
student87,62,79,76,84,51,91,88,100,74,59,66,98,58,73,95,57,86,84,53,51,86,50,80,70,93
student88,52,91,79,65,68,73,55,85,67,65,79,75,67,62,72,77,72,63,100,95,100,85,98,66,65
student89,96,56,80,84,89,65,70,85,91,71,78,79,97,82,60,58,52,82,58,99,100,72,59,73,84
student90,63,81,68,73,68,69,97,69,95,86,76,94,59,50,94,98,71,62,53,98,69,64,98,75,75
student91,55,65,74,66,69,75,56,83,74,68,73,93,53,91,79,75,87,62,52,77,51,81,73,59,56
student92,76,73,76,50,81,91,54,98,76,58,80,75,69,57,72,70,54,92,51,75,65,93,62,80,64
student93,92,95,64,82,69,55,75,68,87,72,99,92,62,94,79,51,87,75,67,83,54,82,88,77,92
student94,73,87,91,96,72,67,61,52,85,88,70,53,88,59,83,77,61,71,92,91,66,73,51,74,91
student95,61,51,50,54,82,100,54,67,95,94,100,73,94,100,57,71,62,75,52,94,81,63,85,95,93
student96,67,55,68,76,73,71,52,51,84,97,88,92,65,53,93,80,58,57,52,91,50,79,55,84,100
student97,73,91,61,84,95,77,80,81,57,93,68,50,60,86,79,55,85,57,54,52,98,50,56,83,52
student98,52,93,96,87,99,94,66,89,68,70,52,58,80,60,60,66,74,84,52,85,66,74,72,100,55
student99,63,82,72,72,58,66,79,56,74,89,59,62,77,67,87,56,92,58,60,82,85,59,96,61,72
student100,61,80,89,66,89,96,81,97,73,86,77,54,75,60,65,97,73,89,79,93,84,67,79,88,67
student101,76,57,100,50,100,60,57,57,63,88,53,66,64,97,80,60,60,85,61,95,59,60,55,100,50
student102,51,60,98,60,92,65,63,63,86,74,96,63,85,54,89,51,87,83,90,76,98,98,78,50,52
student103,94,76,98,76,61,67,89,62,55,51,70,93,63,75,51,82,80,79,67,61,75,69,72,87,97
student104,51,51,69,89,67,59,93,81,72,97,100,67,95,68,50,63,76,81,92,89,76,87,90,70,63
student105,61,80,65,69,66,89,53,74,59,74,63,59,97,68,51,97,77,56,64,88,83,82,53,83,85
student106,100,65,90,80,55,89,77,70,58,54,82,87,54,74,77,57,57,56,65,50,99,61,70,95,56
student107,65,78,100,94,75,100,59,88,52,85,86,78,93,53,52,95,94,80,80,65,89,97,79,64,50
student108,64,84,87,75,55,51,51,57,85,60,50,50,63,85,51,52,89,99,68,76,82,88,76,96,92
student109,83,84,54,88,94,65,72,57,63,97,63,56,99,52,86,81,56,73,64,60,68,85,91,52,99
student110,71,71,96,78,50,61,55,84,61,62,97,53,72,77,63,85,91,98,72,88,95,79,62,95,54
student111,54,74,55,72,91,67,79,68,89,52,81,71,86,57,55,50,51,65,50,67,53,78,75,75,76
student112,64,62,91,85,87,64,64,54,84,54,93,75,56,67,80,55,55,84,82,62,66,72,71,97,92
student113,83,97,95,89,81,85,98,91,75,70,99,90,94,74,60,88,74,69,96,92,77,55,88,85,97
student114,55,100,60,79,68,92,57,73,74,89,77,79,66,65,76,59,88,63,64,51,71,80,99,69,71
student115,92,52,57,100,56,80,89,98,86,87,99,91,66,87,78,61,98,54,86,96,70,74,83,53,52
student116,85,73,88,61,88,59,76,64,90,68,73,50,99,84,60,78,50,100,55,64,85,96,77,96,60
student117,59,89,76,72,95,86,61,99,80,92,58,94,55,70,77,96,55,95,56,85,51,90,56,68,74
student118,51,93,54,97,66,85,74,94,68,62,62,50,100,93,72,94,58,60,67,76,73,97,89,83,67
student119,57,56,75,71,86,88,81,70,68,81,89,83,69,65,66,97,86,57,90,53,99,78,99,96,66
student120,95,89,89,100,95,77,94,87,64,69,65,73,86,66,67,90,85,51,73,100,82,86,85,56,81
student121,81,80,99,58,67,65,67,50,83,83,72,61,51,93,76,55,84,62,77,66,87,51,82,99,78
student122,51,60,94,90,52,52,100,76,61,99,82,70,64,53,100,57,70,66,74,74,74,51,55,65,84
student123,93,78,59,58,68,98,82,69,59,89,70,82,94,79,74,75,52,93,64,56,76,80,60,90,90
student124,66,86,62,69,82,80,97,98,91,62,93,91,77,77,92,76,77,59,54,97,56,62,100,56,62
student125,59,52,76,59,60,52,65,94,76,96,90,97,63,75,83,67,67,84,89,90,76,77,66,94,66
student126,88,60,52,76,97,93,85,72,91,76,62,84,91,83,71,88,72,60,75,73,86,96,85,89,95
student127,92,74,64,75,62,78,58,54,56,65,53,60,87,96,72,64,59,51,58,91,93,84,86,62,67
student128,64,50,74,52,81,67,72,94,92,55,91,93,91,67,58,81,57,59,77,90,62,74,62,100,76
student129,85,78,70,98,56,74,51,75,68,90,95,83,82,51,52,98,77,67,69,81,71,72,51,93,76
student130,55,50,80,77,69,69,51,93,53,65,50,86,93,51,55,86,67,52,85,67,55,80,50,65,51
student131,58,93,67,63,79,55,73,65,82,65,60,56,90,60,84,62,58,79,59,62,72,69,60,61,53
student132,77,54,96,92,64,70,74,51,98,64,96,88,79,80,92,97,70,62,76,52,67,66,74,80,81
student133,50,84,99,61,94,68,98,98,88,56,61,56,83,95,65,53,74,50,59,88,65,94,73,85,83
student134,63,76,69,53,50,84,65,61,91,51,98,73,82,52,97,94,50,74,50,53,53,93,76,79,66
student135,70,86,88,74,92,76,98,97,87,83,99,94,94,58,91,92,64,91,99,97,89,65,54,57,91
student136,50,83,98,82,89,68,68,64,68,64,59,75,99,90,100,100,61,59,77,71,85,79,87,57,90
student137,86,55,77,76,80,92,77,78,56,75,93,78,59,90,73,51,81,80,85,61,68,79,51,96,69
student138,94,65,56,88,85,80,60,55,64,92,77,86,66,71,62,75,87,98,68,89,69,95,51,96,50
student139,79,62,75,87,88,98,100,100,78,56,100,93,64,89,82,60,57,95,71,82,79,99,54,91,91
student140,88,72,51,55,79,68,68,89,91,61,72,61,83,89,56,85,100,59,64,58,79,74,58,91,56
student141,87,64,78,59,62,59,92,86,95,52,87,62,75,80,99,100,74,86,66,88,51,53,79,62,91
student142,94,62,73,98,70,94,67,52,67,72,99,62,98,76,57,100,85,89,57,96,81,82,81,71,74
student143,91,66,86,69,93,90,71,90,99,72,55,82,81,84,72,71,72,50,51,79,100,63,58,63,77
student144,90,60,88,54,92,88,75,50,94,89,71,67,52,69,80,64,75,79,55,93,83,71,88,61,93
student145,59,82,65,91,82,72,66,71,90,89,82,93,98,63,96,85,98,90,58,83,79,52,53,81,56
student146,93,66,70,79,91,99,100,76,93,90,68,65,62,88,100,52,69,80,83,78,98,72,62,54,74
student147,82,83,57,64,67,74,70,84,85,89,61,85,84,89,57,71,68,59,80,59,82,53,70,89,87
student148,92,92,74,52,97,67,92,66,58,89,87,95,73,99,61,58,72,75,60,98,56,80,92,50,79
student149,79,77,53,68,98,65,68,53,66,85,67,83,84,98,63,67,58,68,58,57,61,78,75,81,82
student150,56,65,71,76,66,79,73,77,64,51,54,76,66,78,96,89,57,91,65,98,66,55,76,55,98
student151,98,57,81,58,58,65,67,53,95,64,76,53,62,65,73,50,97,51,57,84,79,91,90,72,80
student152,83,82,62,84,58,66,57,60,61,72,97,81,63,87,53,51,91,73,100,51,55,57,56,52,68
student153,90,52,88,51,81,65,68,58,72,95,96,96,57,72,74,79,80,93,75,92,78,81,93,63,71
student154,87,71,73,62,94,74,67,69,81,63,70,100,72,82,71,78,82,95,93,76,90,84,91,68,79
student155,77,84,63,100,61,77,85,53,58,78,87,94,88,72,67,64,64,97,97,77,98,63,50,61,75
student156,58,50,57,90,67,72,100,80,93,65,92,87,64,82,93,68,82,54,92,66,87,85,93,55,94
student157,84,89,90,90,80,75,64,75,85,69,61,93,85,98,52,88,60,98,72,86,74,55,58,96,81
student158,73,62,86,78,93,89,77,82,74,84,84,58,99,88,84,97,88,50,60,67,91,62,62,83,68
student159,92,51,94,97,82,96,89,62,50,69,51,97,94,55,58,78,70,77,71,68,85,55,96,79,69
student160,96,72,58,65,91,72,79,54,77,57,85,89,61,100,67,91,50,88,91,54,94,72,74,66,77
student161,84,68,51,99,56,85,61,96,51,97,74,67,63,94,81,51,51,89,80,66,65,99,91,72,53
student162,56,69,78,100,52,68,84,75,91,69,99,63,72,85,51,77,65,95,58,58,72,75,68,63,89
student163,74,83,51,53,73,92,62,91,97,97,95,83,91,52,57,92,88,68,93,64,75,77,69,77,93
student164,82,80,72,61,71,98,65,71,94,64,92,87,73,73,94,73,53,65,72,95,100,79,72,64,98
student165,100,52,50,58,69,87,77,85,60,85,92,75,80,97,98,74,89,56,89,77,60,84,68,92,86
student166,58,89,81,50,95,91,85,57,51,94,86,70,98,59,61,95,72,91,89,88,99,99,67,97,87
student167,63,80,57,76,67,82,54,96,53,56,80,82,95,78,96,61,94,88,91,54,69,75,100,78,97
student168,100,62,55,81,86,91,82,72,52,72,73,86,71,91,56,81,50,63,83,94,97,74,54,90,50
student169,73,78,65,77,71,57,72,70,72,73,81,56,64,55,76,83,64,95,75,78,82,53,68,95,52
student170,100,89,61,62,75,74,72,86,50,80,65,92,59,72,63,74,75,61,80,70,62,67,72,77,74
student171,79,53,85,83,59,59,72,59,73,98,88,86,80,61,83,81,76,96,79,73,80,56,95,53,71
student172,52,96,97,67,68,90,68,84,61,94,92,75,76,84,56,74,59,85,88,84,82,93,72,51,57
student173,97,80,91,91,80,97,60,87,62,91,61,79,58,97,55,62,93,58,59,69,60,84,84,100,50
student174,92,69,80,58,73,77,62,54,68,97,54,73,89,82,55,80,75,64,67,99,99,80,100,73,79
student175,70,99,98,64,74,85,69,78,74,74,98,55,94,74,55,85,86,73,50,83,73,53,93,81,57
student176,95,92,63,55,88,88,85,51,90,80,76,90,71,54,75,62,94,65,71,69,91,92,62,72,67
student177,77,86,57,83,97,84,85,71,82,69,55,86,52,75,52,58,66,61,70,77,73,74,52,53,83
student178,52,82,82,91,92,92,100,89,97,99,81,78,67,80,90,61,72,84,61,81,54,91,58,69,100
student179,70,91,74,60,75,100,60,66,59,99,100,75,85,75,50,73,75,94,99,62,83,89,79,78,52
student180,87,56,76,58,54,91,89,88,57,65,99,80,68,53,62,95,78,57,53,89,68,87,82,87,57
student181,83,81,70,50,97,71,70,57,87,50,74,89,95,67,75,79,94,69,93,98,78,57,100,87,98
student182,86,96,56,88,56,97,59,95,91,91,64,62,83,90,82,70,78,87,89,75,56,78,80,93,86
student183,74,50,52,61,80,51,70,50,79,75,56,90,81,72,63,96,52,80,79,58,81,52,74,59,55
student184,68,65,76,55,61,79,99,76,84,69,83,99,98,66,77,85,98,52,74,89,77,78,66,56,91
student185,53,79,73,84,72,51,70,90,68,98,96,83,51,78,69,92,56,99,59,59,71,51,61,75,77
student186,71,54,55,58,56,100,72,91,87,99,50,63,52,91,91,86,98,88,66,70,63,58,96,87,94
student187,88,85,86,64,82,50,64,92,76,88,78,78,82,91,90,50,82,67,78,66,54,63,80,84,53
student188,74,80,54,58,56,86,54,51,56,64,93,88,55,73,79,82,94,62,59,80,51,90,53,67,79
student189,91,90,87,72,65,96,63,92,84,69,79,96,81,92,73,56,82,64,58,67,82,91,60,55,79
student190,82,68,77,65,92,91,87,80,58,64,89,74,100,89,90,77,59,65,80,52,76,50,79,65,95
student191,72,82,56,76,96,72,64,100,81,57,58,60,86,65,59,95,51,92,57,83,58,66,56,70,69
student192,52,82,61,71,98,58,75,58,77,55,87,73,81,54,70,58,69,86,95,79,62,82,51,94,64
student193,70,93,77,85,98,52,53,100,98,59,69,62,69,85,60,67,81,84,51,87,62,69,56,64,80
student194,87,92,78,75,96,62,86,75,65,73,91,88,62,82,61,71,65,76,74,64,79,73,93,77,66
student195,86,80,100,69,74,52,53,73,56,86,56,99,78,55,72,88,83,64,51,57,64,93,71,98,56
student196,92,82,77,80,67,60,60,82,86,67,72,53,96,55,98,91,50,67,67,73,66,75,59,61,66
student197,90,82,99,85,90,72,79,96,96,98,51,80,82,50,63,93,60,51,71,72,63,79,82,63,61
student198,55,91,97,96,76,93,53,51,100,76,85,91,88,70,88,54,78,98,94,53,53,56,74,75,59
student199,81,81,91,54,72,54,61,59,94,98,62,73,56,67,51,77,81,99,91,88,64,70,94,77,76
student200,58,50,83,58,61,87,51,78,81,92,82,61,94,78,79,79,59,66,81,96,61,93,73,75,58
student201,67,56,98,65,68,77,81,74,91,79,58,63,56,93,62,95,77,56,85,80,77,70,89,70,84
student202,85,54,63,76,55,51,59,53,69,69,71,100,71,51,62,86,71,90,56,57,64,62,52,52,56
student203,97,94,71,92,98,100,66,98,89,91,59,58,55,62,80,82,68,53,79,82,63,81,79,72,90
student204,74,96,71,98,57,76,87,68,95,73,59,90,85,84,63,58,70,54,55,85,91,94,89,89,53
student205,62,61,71,88,51,80,82,89,79,94,90,73,54,86,53,73,90,80,58,86,52,79,87,52,87
student206,84,75,54,97,52,51,79,78,71,76,87,85,99,56,86,79,54,85,73,73,67,97,53,80,71
student207,76,66,76,68,51,68,54,97,80,97,60,50,67,63,76,76,93,97,66,100,84,72,64,86,66
student208,61,72,65,80,86,61,95,59,73,56,64,81,95,74,96,72,84,52,80,77,57,63,100,81,67
student209,89,63,77,50,95,59,79,65,58,51,80,93,84,100,71,81,95,92,74,51,88,80,77,98,63
student210,79,52,62,89,92,76,98,100,61,66,52,89,98,96,74,79,80,67,75,96,96,79,51,72,95
student211,63,60,69,65,53,63,83,52,96,74,68,81,54,51,95,84,96,58,73,99,76,83,91,88,68
student212,86,60,70,64,87,78,63,58,89,99,64,68,52,77,53,85,95,84,56,89,80,52,89,69,80
student213,93,63,57,78,66,58,84,60,89,79,62,98,50,59,67,55,77,78,72,53,72,52,53,66,78
student214,76,72,60,65,95,96,81,64,52,50,75,74,69,96,58,92,74,58,98,87,56,100,68,54,68
student215,96,87,100,67,80,89,54,77,56,68,76,91,83,98,98,91,52,77,91,81,81,84,62,70,74
student216,87,87,79,98,65,72,68,92,73,54,83,98,58,99,65,53,76,88,91,69,88,66,72,86,67
student217,88,64,58,53,97,73,96,85,58,65,70,67,53,74,83,61,96,90,54,85,81,65,94,81,51
student218,54,89,72,61,82,57,74,60,55,96,75,67,97,53,91,57,77,90,52,58,92,83,96,58,72
student219,71,94,96,99,64,99,71,61,74,60,61,79,67,68,66,93,78,91,84,100,55,83,85,66,97
student220,96,94,71,50,52,88,83,83,80,57,53,62,61,98,73,68,95,50,80,81,76,54,62,96,79
student221,71,74,91,78,89,77,69,81,100,88,90,63,77,74,69,73,70,86,85,69,83,86,81,89,52
student222,56,81,56,79,93,61,92,69,59,92,72,86,53,59,58,88,88,53,62,64,93,59,93,66,75
student223,87,91,96,72,54,88,73,74,84,70,82,69,67,58,56,52,65,93,97,85,61,59,52,90,50
student224,59,52,51,91,97,78,53,57,57,83,85,94,79,87,78,93,87,56,95,58,64,83,80,57,59
student225,58,88,78,96,59,97,74,55,50,52,58,57,77,69,78,93,62,86,78,60,59,66,89,78,64
student226,80,99,99,96,70,64,65,72,54,54,94,62,55,86,58,69,71,60,91,53,54,92,59,79,62
student227,74,90,95,64,70,85,58,65,64,88,93,70,83,68,50,89,77,84,99,93,88,67,84,56,63
student228,51,81,88,79,65,62,52,91,59,50,57,70,77,84,74,90,53,71,58,72,80,75,54,87,67
student229,59,81,88,53,92,92,81,66,70,89,52,78,54,55,79,61,58,69,59,81,80,61,54,52,60
student230,100,57,67,95,62,94,61,77,59,90,89,72,84,100,67,93,65,86,59,78,85,97,60,98,63
student231,51,60,52,69,61,54,81,94,93,87,61,95,80,97,68,74,71,82,87,96,99,81,63,77,80
student232,84,96,78,66,54,72,77,55,65,82,54,80,86,68,94,89,78,54,71,99,98,87,68,70,97
student233,92,89,80,65,85,57,57,77,85,61,81,69,63,54,80,100,84,66,84,77,83,68,66,76,93
student234,64,72,87,70,89,50,56,75,55,59,89,51,75,52,93,75,78,87,67,82,100,97,69,75,76
student235,88,70,77,85,77,100,96,86,84,95,54,76,80,90,85,50,59,66,64,57,72,75,85,58,71
student236,77,69,51,50,57,65,87,87,91,69,74,89,75,99,85,80,87,50,99,50,58,81,59,79,71
student237,65,70,51,73,71,68,52,79,71,62,68,88,64,56,62,73,66,63,69,91,92,85,83,72,68
student238,98,69,93,53,91,70,99,77,64,69,56,84,52,52,98,57,70,67,100,69,67,56,72,70,59
student239,92,55,77,54,61,60,73,69,73,75,69,72,87,94,97,100,99,81,54,58,74,82,71,94,92
student240,55,96,64,50,58,75,72,85,56,92,58,56,85,68,95,91,72,83,54,86,88,61,61,60,86
student241,66,98,75,83,92,80,50,86,56,88,64,68,51,95,69,94,85,94,68,77,82,84,79,78,78
student242,88,65,73,51,67,78,88,61,59,73,59,70,61,67,98,64,96,68,65,78,53,76,86,78,59
student243,77,66,66,93,100,63,94,77,66,70,69,58,62,82,55,72,93,88,51,58,70,69,93,51,60
student244,84,94,77,52,81,63,74,95,59,59,51,67,70,83,87,79,79,98,97,84,62,65,68,51,66
student245,98,53,84,53,81,86,50,95,60,89,54,62,83,51,68,76,91,75,51,63,99,64,65,80,97
student246,69,55,80,76,99,73,94,88,64,56,75,77,88,56,71,77,94,69,52,97,66,89,94,73,67
student247,54,75,83,62,56,68,82,77,95,78,66,73,60,70,65,76,93,77,74,93,51,69,90,83,87
student248,61,99,97,64,83,84,52,78,53,75,78,71,58,60,96,97,71,63,92,96,88,87,73,68,56
student249,89,84,100,53,50,74,83,86,77,56,94,67,73,73,51,54,94,81,88,56,67,84,51,76,87
student250,90,67,98,62,72,94,54,78,97,73,58,86,59,64,90,67,87,60,69,55,64,90,100,77,62
student251,88,68,81,87,81,71,81,96,99,80,89,58,54,87,51,61,96,59,75,74,76,89,100,67,74
student252,100,90,52,71,100,62,52,82,77,87,88,84,50,80,99,71,67,85,81,90,58,74,100,68,53
student253,84,84,98,90,65,60,97,76,65,50,91,100,71,71,71,100,93,75,78,83,95,62,88,92,57
student254,80,69,99,86,55,95,55,89,92,92,60,88,91,84,83,87,65,76,93,57,80,76,75,59,68
student255,57,70,98,80,99,66,62,99,86,94,94,64,81,54,68,84,60,66,59,61,60,79,76,60,77
student256,95,67,99,89,77,52,67,78,61,60,79,52,67,78,55,69,91,81,95,61,96,66,52,64,74
student257,91,73,56,94,60,97,62,95,57,87,90,66,62,93,52,55,87,90,74,83,90,73,96,86,93
student258,59,100,51,88,62,80,82,96,99,58,88,91,66,97,84,88,73,89,92,95,54,81,78,83,83
student259,79,77,97,100,81,98,64,84,68,80,87,50,55,51,55,53,72,59,72,70,74,93,89,72,75
